"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","33,900.0","34,000.0","34,900.0","33,900.0","13.26M","0.30%"
"12/30/2021","33,800.0","34,100.0","34,400.0","33,800.0","6.29M","-1.02%"
"12/29/2021","34,150.0","34,000.0","34,450.0","33,900.0","10.23M","0.74%"
"12/28/2021","33,900.0","33,500.0","34,250.0","33,400.0","13.59M","1.50%"
"12/27/2021","33,400.0","33,000.0","33,450.0","32,850.0","8.11M","1.52%"
"12/24/2021","32,900.0","31,950.0","33,000.0","31,850.0","6.64M","2.17%"
"12/23/2021","32,200.0","31,700.0","32,200.0","31,050.0","8.94M","1.74%"
"12/22/2021","31,650.0","32,250.0","32,250.0","31,550.0","9.34M","-1.09%"
"12/21/2021","32,000.0","32,400.0","32,700.0","32,000.0","6.86M","-1.39%"
"12/20/2021","32,450.0","32,900.0","33,000.0","32,400.0","4.92M","-1.52%"
"12/17/2021","32,950.0","32,500.0","33,200.0","32,300.0","8.04M","1.38%"
"12/16/2021","32,500.0","32,450.0","32,700.0","32,200.0","6.68M","0.78%"
"12/15/2021","32,250.0","32,400.0","32,700.0","32,200.0","5.40M","-0.46%"
"12/14/2021","32,400.0","33,000.0","33,050.0","32,350.0","7.28M","-0.92%"
"12/13/2021","32,700.0","33,090.4","33,285.7","32,700.0","8.12M","-0.15%"
"12/10/2021","32,748.8","32,992.8","33,383.3","32,700.0","5.91M","-0.59%"
"12/09/2021","32,944.0","32,211.9","32,944.0","32,114.3","5.94M","2.27%"
"12/08/2021","32,211.9","32,163.1","32,456.0","31,919.1","6.39M","0.92%"
"12/07/2021","31,919.1","31,723.9","32,114.3","31,577.4","6.32M","1.87%"
"12/06/2021","31,333.4","32,211.9","32,553.6","30,845.4","12.85M","-2.73%"
"12/03/2021","32,211.9","33,383.3","33,383.3","32,211.9","9.83M","-2.37%"
"12/02/2021","32,992.8","33,578.5","33,920.1","32,992.8","7.86M","-0.59%"
"12/01/2021","33,188.0","32,748.8","33,188.0","32,456.0","9.08M","1.34%"
"11/30/2021","32,748.8","34,164.2","34,261.8","32,504.8","11.07M","-2.04%"
"11/29/2021","33,432.1","32,748.8","33,871.3","32,748.8","13.76M","-0.15%"
"11/26/2021","33,480.9","34,359.4","34,603.4","33,285.7","15.20M","-2.42%"
"11/25/2021","34,310.6","34,945.1","34,945.1","34,213.0","14.25M","-0.71%"
"11/24/2021","34,554.6","33,383.3","34,554.6","33,236.9","25.48M","3.81%"
"11/23/2021","33,285.7","33,627.3","33,627.3","32,895.2","9.85M","-1.16%"
"11/22/2021","33,676.1","32,260.7","34,017.7","32,211.9","27.85M","5.18%"
"11/19/2021","32,016.7","31,431.0","32,407.2","31,382.2","21.68M","2.02%"
"11/18/2021","31,382.2","31,479.8","31,723.9","31,138.2","9.93M","-0.31%"
"11/17/2021","31,479.8","31,675.1","31,723.9","31,382.2","6.72M","-0.46%"
"11/16/2021","31,626.3","31,528.6","31,967.9","31,431.0","8.84M","-0.31%"
"11/15/2021","31,723.9","32,211.9","32,358.3","31,479.8","9.55M","-0.61%"
"11/12/2021","31,919.1","30,991.8","31,919.1","30,845.4","10.87M","2.35%"
"11/11/2021","31,187.0","31,626.3","31,723.9","30,747.7","14.02M","-1.69%"
"11/10/2021","31,723.9","32,211.9","32,309.5","31,723.9","8.51M","-1.37%"
"11/09/2021","32,163.1","32,163.1","32,553.6","31,967.9","15.59M","0.46%"
"11/08/2021","32,016.7","31,919.1","32,163.1","31,235.8","11.22M","0.31%"
"11/05/2021","31,919.1","31,967.9","32,016.7","31,431.0","10.49M","0.31%"
"11/04/2021","31,821.5","32,407.2","32,407.2","31,772.7","11.37M","-1.21%"
"11/03/2021","32,211.9","31,723.9","32,456.0","31,577.4","20.78M","1.85%"
"11/02/2021","31,626.3","31,431.0","31,821.5","31,284.6","11.82M","0.62%"
"11/01/2021","31,431.0","31,040.6","31,626.3","30,845.4","17.98M","2.22%"
"10/29/2021","30,747.7","30,747.7","30,991.8","30,503.7","13.02M","0.64%"
"10/28/2021","30,552.5","30,601.3","30,650.1","30,259.7","14.40M","0.64%"
"10/27/2021","30,357.3","29,478.8","30,454.9","29,234.8","19.61M","4.01%"
"10/26/2021","29,186.0","29,186.0","29,576.4","28,990.7","5.96M","0.00%"
"10/25/2021","29,186.0","28,941.9","29,430.0","28,649.1","8.17M","0.84%"
"10/22/2021","28,941.9","29,088.3","29,186.0","28,941.9","4.27M","-0.34%"
"10/21/2021","29,039.5","29,332.4","29,381.2","29,039.5","7.37M","-0.83%"
"10/20/2021","29,283.6","29,674.0","29,674.0","28,844.3","9.26M","-0.99%"
"10/19/2021","29,576.4","29,674.0","29,820.4","29,478.8","6.92M","0.33%"
"10/18/2021","29,478.8","30,015.7","30,113.3","29,430.0","9.76M","-1.47%"
"10/15/2021","29,918.0","29,966.9","30,210.9","29,771.6","8.25M","0.16%"
"10/14/2021","29,869.2","29,966.9","30,162.1","29,771.6","8.53M","-0.33%"
"10/13/2021","29,966.9","30,064.5","30,552.5","29,966.9","7.01M","-0.32%"
"10/12/2021","30,064.5","30,406.1","30,747.7","30,015.7","10.82M","-0.65%"
"10/11/2021","30,259.7","28,893.1","30,259.7","28,893.1","16.94M","5.26%"
"10/08/2021","28,746.7","28,795.5","28,941.9","28,649.1","6.60M","0.34%"
"10/07/2021","28,649.1","28,697.9","28,941.9","28,551.5","7.92M","0.17%"
"10/06/2021","28,600.3","29,039.5","29,088.3","28,356.3","6.89M","-0.68%"
"10/05/2021","28,795.5","28,307.5","28,844.3","28,307.5","8.71M","2.79%"
"10/04/2021","28,014.6","28,893.1","28,990.7","28,014.6","20.18M","-3.53%"
"10/01/2021","29,039.5","29,674.0","29,820.4","28,990.7","12.09M","-2.14%"
"09/30/2021","29,674.0","29,674.0","30,113.3","29,674.0","6.72M","0.00%"
"09/29/2021","29,674.0","30,210.9","30,259.7","29,625.2","10.28M","-1.78%"
"09/28/2021","30,210.9","30,064.5","30,308.5","29,966.9","6.73M","-0.16%"
"09/27/2021","30,259.7","31,040.6","31,138.2","30,259.7","7.76M","-2.21%"
"09/24/2021","30,943.0","30,943.0","31,138.2","30,845.4","6.35M","0.32%"
"09/23/2021","30,845.4","30,747.7","31,138.2","30,650.1","8.17M","0.80%"
"09/22/2021","30,601.3","30,650.1","30,796.6","30,406.1","7.71M","-0.48%"
"09/21/2021","30,747.7","30,747.7","30,943.0","30,552.5","8.14M","-1.10%"
"09/20/2021","31,089.4","31,528.6","31,528.6","31,089.4","8.74M","0.16%"
"09/17/2021","31,040.6","30,991.8","31,382.2","30,943.0","6.83M","0.47%"
"09/16/2021","30,894.2","30,747.7","31,284.6","30,650.1","6.37M","1.61%"
"09/15/2021","30,406.1","30,259.7","30,747.7","30,259.7","7.13M","-0.16%"
"09/14/2021","30,454.9","31,138.2","31,284.6","30,454.9","9.00M","-2.04%"
"09/13/2021","31,089.4","31,479.8","31,577.4","31,040.6","8.46M","-1.39%"
"09/10/2021","31,528.6","31,723.9","31,919.1","31,528.6","6.65M","-0.31%"
"09/09/2021","31,626.3","31,382.2","31,626.3","31,333.4","7.65M","0.78%"
"09/08/2021","31,382.2","32,016.7","32,260.7","31,235.8","8.36M","-1.53%"
"09/07/2021","31,870.3","31,382.2","32,163.1","31,382.2","10.82M","1.87%"
"09/06/2021","31,284.6","31,284.6","31,528.6","31,040.6","11.55M","0.00%"
"09/01/2021","31,284.6","31,040.6","31,528.6","30,845.4","15.29M","0.79%"
"08/31/2021","31,040.6","31,723.9","31,772.7","31,040.6","12.24M","-1.55%"
"08/30/2021","31,528.6","30,650.1","31,528.6","30,552.5","13.24M","3.69%"
"08/27/2021","30,406.1","29,966.9","30,454.9","29,381.2","19.89M","-0.16%"
"08/26/2021","30,454.9","31,528.6","31,919.1","30,357.3","21.10M","-2.95%"
"08/25/2021","31,382.2","31,919.1","32,016.7","30,943.0","18.21M","-1.83%"
"08/24/2021","31,967.9","32,114.3","32,407.2","31,870.3","11.18M","0.15%"
"08/23/2021","31,919.1","31,919.1","32,651.2","31,870.3","19.70M","0.00%"
"08/20/2021","31,919.1","33,480.9","33,920.1","31,235.8","23.43M","-4.66%"
"08/19/2021","33,480.9","33,529.7","33,676.1","33,334.5","11.37M","-0.58%"
"08/18/2021","33,676.1","33,871.3","33,968.9","33,480.9","11.15M","-0.29%"
"08/17/2021","33,773.7","34,554.6","34,652.2","33,724.9","11.93M","-1.42%"
"08/16/2021","34,261.8","33,480.9","34,603.4","33,285.7","21.66M","2.33%"
"08/13/2021","33,480.9","33,578.5","33,773.7","32,895.2","12.21M","-0.29%"
"08/12/2021","33,578.5","33,676.1","33,920.1","33,480.9","13.12M","0.29%"
"08/11/2021","33,480.9","33,822.5","34,261.8","33,480.9","17.30M","-1.01%"
"08/10/2021","33,822.5","34,115.4","34,115.4","33,627.3","12.04M","0.29%"
"08/09/2021","33,724.9","33,285.7","33,773.7","33,139.2","15.50M","1.17%"
"08/06/2021","33,334.5","33,529.7","34,066.6","33,285.7","18.94M","-0.15%"
"08/05/2021","33,383.3","33,090.4","33,383.3","32,797.6","13.35M","0.59%"
"08/04/2021","33,188.0","33,480.9","33,627.3","33,090.4","15.29M","-0.29%"
"08/03/2021","33,285.7","32,944.0","33,285.7","32,456.0","22.28M","1.04%"
"08/02/2021","32,944.0","32,992.8","33,383.3","32,846.4","25.10M","-1.89%"
"07/30/2021","33,578.5","33,188.0","33,871.3","33,139.2","20.78M","1.48%"
"07/29/2021","33,090.4","32,504.8","33,334.5","32,407.2","17.02M","3.04%"
"07/28/2021","32,114.3","31,723.9","32,309.5","31,723.9","7.15M","1.23%"
"07/27/2021","31,723.9","31,723.9","32,553.6","31,626.3","15.90M","1.09%"
"07/26/2021","31,382.2","31,431.0","31,723.9","31,040.6","10.15M","-1.08%"
"07/23/2021","31,723.9","32,358.3","32,895.2","31,723.9","16.26M","-2.99%"
"07/22/2021","32,700.0","32,065.5","33,139.2","31,967.9","13.30M","1.98%"
"07/21/2021","32,065.5","32,651.2","33,041.6","31,919.1","9.94M","-1.20%"
"07/20/2021","32,456.0","31,528.6","32,504.8","30,894.2","20.03M","3.10%"
"07/19/2021","31,479.8","32,700.0","33,139.2","31,479.8","20.73M","-6.93%"
"07/16/2021","33,822.5","34,554.6","34,554.6","33,822.5","9.67M","-1.00%"
"07/15/2021","34,164.2","32,992.8","34,603.4","32,797.6","15.11M","3.86%"
"07/14/2021","32,895.2","33,822.5","34,505.8","32,895.2","16.35M","-2.60%"
"07/13/2021","33,773.7","34,652.2","35,091.5","32,992.8","11.77M","-1.14%"
"07/12/2021","34,164.2","36,165.2","36,214.0","34,164.2","28.00M","-6.91%"
"07/09/2021","36,702.1","37,287.7","37,873.4","36,116.4","18.30M","-2.59%"
"07/08/2021","37,678.2","38,361.5","39,044.8","37,678.2","14.11M","-1.15%"
"07/07/2021","38,117.4","37,873.4","38,263.9","36,702.1","26.84M","3.92%"
"07/06/2021","36,679.3","39,704.4","40,233.8","36,679.3","33.56M","-6.91%"
"07/05/2021","39,401.9","39,855.6","40,082.5","38,948.1","25.30M","-1.14%"
"07/02/2021","39,855.6","39,855.6","40,233.8","39,628.7","21.36M","0.57%"
"07/01/2021","39,628.7","39,855.6","40,309.4","39,250.6","37.74M","-0.57%"